Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;5731472900096;1002176200126,69;919,6149;47,63369;12;381,0807;False
2;8370355961856;1952089864869,53;926,3103;42,42201;13;290,5498;False
3;8426753097728;1994241842377,2;1081,306;57,46341;13;290,5498;False
4;8204306612224;2465175022982,6;1050,515;54,75998;13;290,5498;False
5;10756226547712;3891004057742,65;919,1607;38,43237;11;284,5114;False
6;8181356953600;3025479555539,47;1071,438;56,96796;11;284,5114;False
7;11093877456896;4887839375222,03;1065,829;51,01587;13;291,5667;False
8;10623297519616;4894927772938,54;926,4986;39,21057;13;287,9809;False
9;8361728278528;3888977824856;921,0615;41,97314;12;296,0388;False
10;9720610947072;4544612285744,23;1064,825;53,18018;12;287,7382;False
11;11873916289024;4689114909678,82;916,0032;36,94482;13;288,3261;False
12;10999360913408;4564663323016,22;926,3886;38,75208;13;288,3261;False
13;13379129311232;5702106693410,95;1072,908;48,59546;12;295,6644;False
14;12998784581632;5858766865521,05;943,726;38,04077;12;291,6013;False
15;14529137213440;5514922028355,21;1074,784;47,45093;12;295,2413;False
16;14967296229376;4577543418004,86;1070,971;46,65845;12;296,0089;False
17;12467914670080;5328212867560,8;935,5656;37,91943;12;295,9654;False
18;13534983356416;4116286797648,7;1076,077;48,69531;12;296,7304;False
19;13170940837888;5846102929396,9;936,0637;37,27271;12;295,094;False
20;21859728883712;7740617433635,15;1602,04;91,26831;12;297,3285;False
21;32144667705344;6862449734701,1;1750;96,86353;12;297,3285;True
22;29871363325952;8874073419349,4;1750;99,26392;12;297,3285;True
23;11536080830464;7631507940531,1;925,3783;38,07813;12;298,1261;False
24;12869595824128;6233839267144,2;968,0627;40,15918;12;300,4843;False
25;17344232423424;8023747279257,6;1086,848;45,76318;12;303,0528;False
26;14292180008960;7031254286335,85;1078,559;48,0564;12;302,4451;False
27;13873352540160;5738180700653,7;912,7655;34,84448;12;293,4828;False
28;13630616633344;7739652155478,1;1062,389;47,35693;12;292,1015;False
29;15333592137728;6187470766822,2;918,2022;34,1001;12;290,975;False
30;13188089249792;6335359426220,2;924,5911;36,35059;12;291,6301;False
