Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;14442752376832;1779692068231,25;1075,879;47,84069;11;397,8383;False
2;12906068443136;2994947354517,28;909,4307;35,59114;11;397,6087;False
3;11967739723776;2792629034724,9;918,202;37,03165;12;293,035;False
4;8793205768192;2562033460347,11;929,2209;42,10107;12;342,7773;False
5;12751778873344;3681906722864,75;917,2888;36,33539;11;388,4011;False
6;15063002906624;6331980725043,2;1068,414;46,39819;12;327,1673;False
7;13903746564096;6919565999762,2;909,2407;34,62781;13;345,7847;False
8;16580945641472;5022994416796,6;1056,612;44,06677;12;386,156;False
9;15081093988352;6679507669401,55;913,7787;34,04065;11;348,4376;False
10;15005029236736;7529276755148,75;928,5738;35,1615;12;319,1432;False
11;14667430756352;4151586372107,9;960,8238;37,95154;12;343,9567;False
12;12227805446144;5260136334131,55;1063,115;49,25049;12;337,2441;False
13;14143592595456;5483029946569,8;927,4786;35,80945;12;341,532;False
14;24371376685056;10179217352294,4;1618,209;89,99097;13;345,4825;False
15;16462479622144;9378731900424,35;1075,753;45,66235;12;324,7223;False
16;15779447701504;9191557408821,9;934,2963;35,02026;12;332,3607;False
17;16159075205120;7721495104934,45;1085,165;46,75903;12;332,3607;False
18;16970440245248;10808417071923,2;1069,601;44,70679;12;332,4483;False
19;18622076420096;9003994863554,2;1347,679;68,46216;12;320,122;False
20;22688722583552;10296914125470,7;1328,189;62,34424;12;326,6357;False
21;14729483386880;8117110163835,2;1085,855;48,27222;12;329,6592;False
22;15968919093248;10217579468524;917,4097;33,625;12;321,0158;False
23;15927063085056;10021430001664;1063,13;45,09351;12;322,0625;False
24;15903260409856;8603940128199,6;912,5428;33,32104;13;323,892;False
25;31913622372352;11526047950438,4;1750;97,1897;12;327,5328;True
26;40580306436096;13292919680729,3;1750;89,69165;12;327,5328;True
27;38963590987776;11805261501235,2;1750;90,93457;12;333,3993;True
28;44487128645632;15038675641958,4;1750;86,9729;13;325,6145;True
29;34227387105280;15087884907315,2;1750;94,93774;13;325,6759;True
30;31770846167040;11802046867046,4;1576,349;78,31714;12;336,2774;False
