Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;3,81769561767578;0,564940972935939;415,2157;20,83731;14;254,0086;False
2;6,99233150482178;0,884964296138954;921,9021;42,06491;12;251,1585;False
3;12,2980031967163;1,5179553339467;925,2032;40,52219;12;225,8202;False
4;18,4901695251465;5,50222167203219;916,7233;40,45117;12;194,1983;False
5;20,7636013031006;5,6581895750821;931,0098;36,98236;12;230,5512;False
6;19,4334259033203;8,88066840508713;910,9151;37,55322;12;218,8226;False
7;26,7344436645508;8,28396950975012;915,1938;33,99402;12;242,3695;False
8;30,2571544647217;12,0962971687317;934,097;35,9328;12;216,8387;False
9;25,3302326202393;14,5570368945904;928,1047;35,54517;12;232,1135;False
10;29,8278179168701;17,1289894580841;659,5774;24,72937;12;229,3445;False
11;29,5958995819092;15,658972966671;656,355;24,65381;12;229,0985;False
12;27,5581798553467;15,8668528556824;805,3506;30,5343;12;230,276;False
13;33,0410614013672;12,0452379048434;799,9473;29,20178;13;233,824;False
14;29,7774524688721;14,2669070094824;652,239;24,54993;12;227,6877;False
15;25,340705871582;10,8851344334209;653,9267;24,95105;13;233,8118;False
16;28,9142799377441;12,0494459986696;795,3435;29,67065;13;234,0751;False
17;32,5283584594727;14,9917298778892;792,9904;29,38501;12;228,1035;False
18;27,9271984100342;10,9918950621039;914,1229;34,63721;13;229,5407;False
19;35,5562362670898;14,1183375358582;919,3293;33,46753;13;229,4386;False
20;36,648494720459;13,9617001783926;919,0166;33,83911;12;222,0235;False
21;33,7600708007813;11,4191628277302;923,1537;34,33496;11;223,6406;False
22;29,8501358032227;13,1796920537971;950,5594;36,08716;11;223,6406;False
23;26,4055786132813;11,7847137164325;780,1788;30,05615;12;226,2346;False
24;25,6266689300537;9,45900066718459;940,8956;36,48462;12;225,5519;False
25;38,4214134216309;11,8058526494016;666,3098;23,97803;12;228,7996;False
26;35,9968299865723;13,6264163523912;656,5587;23,95801;13;227,4109;False
27;35,1032943725586;14,0806927859784;665,8773;24,34351;12;228,4694;False
28;42,5506172180176;13,9469779302526;909,5999;32,3667;12;226,1914;False
29;27,3086261749268;16,576006960246;654,4504;24,95361;12;228,3725;False
30;29,3879871368408;15,6684256076813;682,8408;25,59668;12;230,5728;False
