Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,68465592814694E+23;1,61650592288119E+22;40,20959;10,3636;12;390,9155;False
2;1,13771872135913E+24;2,14552104074839E+23;67,73312;11,40383;13;284,7307;False
3;1,79227585436883E+24;1,81511917713196E+23;95,61192;20,2561;13;284,7307;False
4;4,44626945263242E+24;3,3661582567491E+23;93,97874;16,48927;14;310,9124;False
5;1,14973000170931E+24;1,92862245815467E+23;63,34018;11,80278;14;309,2569;False
6;2,42644638081573E+24;3,29967208429906E+23;95,88001;20,50401;13;316,5401;False
7;5,18881604166424E+24;6,72675619201183E+23;96,53597;14,96251;13;308,5246;False
8;2,01523199427016E+24;4,47556336352655E+23;99,72761;23,37238;13;308,2893;False
9;2,01218294923604E+24;4,35233740451711E+23;99,86559;23,56927;13;309,4585;False
10;3,81729110818152E+24;4,48937429416924E+23;92,99766;15,59851;13;309,4585;False
11;7,15190139628103E+23;1,34182483708266E+23;78,33543;21,59631;13;316,2857;False
12;2,69338027916472E+24;4,27532637319289E+23;83,42631;14,49734;13;316,5324;False
13;8,25835540845101E+24;6,10779129086879E+23;115,3463;19,01663;13;317,9579;False
14;6,34048086183106E+24;6,12577421772284E+23;108,1345;18,32944;13;318,0391;False
15;5,38403534012292E+23;8,87685915979441E+22;54,26474;10,76431;13;318,14;False
16;3,50531227841716E+24;4,52360370980059E+23;82,32648;12,7919;13;318,1227;False
17;7,2964237097632E+23;1,2431273178311E+23;67,13789;15,21701;13;317,6363;False
18;1,88591340078443E+24;2,47947321813758E+23;78,13783;14,33966;13;314,3184;False
19;1,6032741174693E+24;1,78024944292642E+23;80,69566;16,32007;13;312,7902;False
20;7,11693256647036E+23;1,20577219152349E+23;64,99467;14,03723;13;312,7902;False
21;4,57992331920585E+24;5,05390466891793E+23;112,319;19,85889;12;308,5152;False
22;1,59490304265473E+24;1,72419391022798E+23;79,00645;13,96582;12;308,5152;False
23;1,93144054161909E+24;3,75346474231282E+23;84,1873;17,14539;13;320,8728;False
24;6,76168171033435E+24;7,36570622519239E+23;126,205;24,31488;13;310,2943;False
25;2,87243994158445E+24;4,62275965366905E+23;77,57372;11,7619;13;309,2972;False
26;2,95878626828973E+24;4,49888365123548E+23;107,135;23,61725;13;310,2943;False
27;3,92132815068385E+24;5,7157935809387E+23;111,5223;22,83405;13;308,0784;False
28;2,00173546279167E+24;3,25836447128811E+23;80,76533;14,73505;13;308,6581;False
29;1,26835903846926E+25;1,06482222535057E+24;123,8249;18,82605;13;318,6486;False
30;6,82509124016622E+24;5,32006343685541E+23;111,6802;20,39905;14;312,2768;False
31;8,93339858750329E+23;1,53989872321466E+23;61,21254;11,1239;13;310,184;False
32;3,23947077319379E+24;2,2994254209184E+23;82,67226;13,00281;13;311,8344;False
33;1,69553579618434E+24;3,76231031214215E+23;101,2799;25,90405;13;307,4221;False
34;1,53729890494412E+24;3,04396558516781E+23;65,44161;11,52991;14;314,4842;False
35;2,49001213151147E+24;2,6135079205046E+23;82,57269;14,24072;13;309,5385;False
36;3,88721089751953E+24;4,13953583399211E+23;108,4879;21,6864;13;309,5385;False
37;2,48562670633832E+24;1,95113037224238E+23;78,55833;13,01147;13;314,1099;False
38;2,52427209474079E+23;4,68930220590046E+22;50,95144;12,53564;13;313,9819;False
39;3,47275593685489E+23;4,68011746140191E+22;51,95832;11,58337;13;316,1552;False
40;3,1978028929806E+23;4,74651541080836E+22;49,72749;10,69214;13;311,981;False
41;9,09435579703363E+23;1,03276960979236E+23;68,2275;14,14893;13;312,6842;False
42;2,41125908995073E+24;2,93298907052512E+23;81,00912;15,22998;14;311,8405;False
43;1,19579505248347E+24;1,0838122830174E+23;64,72334;12,30408;14;311,8405;False
44;3,86884932552197E+23;6,42057269705561E+22;50,7757;11,33826;14;311,8405;False
45;1,31862096851601E+24;1,50480816062016E+23;65,79501;12,26978;14;311,8405;False
46;1,69436385147491E+24;1,54865301608311E+23;66,339;10,35779;13;311,1315;False
47;1,40092731415395E+24;1,86937262847352E+23;79,92604;18,48633;14;313,056;False
48;2,42743674038818E+24;4,05833529012908E+23;94,57361;17,52917;12;308,607;False
49;6,18990008995737E+23;1,53390604447237E+23;54,22392;10,80005;14;310,7611;False
50;1,96727218906077E+24;3,15291962611434E+23;76,30697;14,59668;14;313,8829;False
51;2,73902761206624E+24;3,47348166497921E+23;78,26109;13,71008;14;317,2578;False
52;3,67807670119137E+24;5,95608303585001E+23;81,87178;13,30762;14;313,8106;False
53;2,1267356446667E+24;3,9163122041774E+23;63,63689;9,51355;14;312,8663;False
54;2,62092435074695E+24;4,90824791247275E+23;91,71126;19,67139;14;316,0705;False
55;8,76571696329733E+24;8,4138280968486E+23;105,8077;16,71252;14;316,4344;False
56;1,83556906567313E+24;2,82723989986152E+23;84,4416;18,95471;14;316,4344;False
57;1,29457203473623E+24;3,28732639719814E+23;62,79688;11,44836;14;318,5787;False
58;1,96955252368169E+24;2,5058553732422E+23;64,23778;10,25049;14;319,6636;False
59;2,6446376402537E+24;4,05701057939998E+23;63,0924;8,808716;14;319,6636;False
60;1,23406054604441E+25;1,03877359086931E+24;102,8237;13,95752;14;319,7609;False
61;2,44722663801476E+24;4,53755648244375E+23;81,39226;15,76184;14;319,7609;False
62;4,33710969165474E+24;3,85657305970301E+23;80,07264;12,16077;14;319,6636;False
63;1,87846322202166E+24;4,67117972056004E+23;83,41298;18,39441;14;318,1595;False
64;4,92215452102071E+24;3,80430874222622E+23;77,67278;10,85376;14;319,6398;False
65;9,84082347210262E+23;2,0536295762396E+23;64,85992;13,68701;14;318,1153;False
66;4,64767475142407E+24;3,34412033199876E+23;77,06762;10,84961;14;318,1153;False
67;3,97090262246044E+24;7,08228667226643E+23;80,32191;12,59436;14;318,1153;False
68;2,96213809933399E+24;5,90424408051713E+23;78,84277;13,57422;14;318,4985;False
69;4,16191231627543E+24;5,80554330245539E+23;78,19609;11,67285;14;318,0663;False
70;3,25571831949746E+24;4,81748323846521E+23;72,27231;10,85364;14;318,7525;False
71;1,98728272704029E+24;2,79933660151308E+23;69,32841;11,98303;14;318,1473;False
72;3,2291503963453E+24;6,34369619552698E+23;77,88015;12,74927;14;317,8263;False
73;2,27680624877461E+24;4,80901969515815E+23;78,1538;14,78369;14;318,7535;False
74;2,6187361057312E+24;3,18706203829197E+23;77,77473;13,84204;14;318,7535;False
75;3,62046492537579E+24;5,86768039903369E+23;80,67292;13,17969;14;318,1927;False
76;6,50969918628747E+24;1,10196964987843E+24;92,9276;12,91797;13;314,3775;False
77;3,56358093125999E+24;4,66283210145342E+23;78,78233;12,56274;14;317,4221;False
78;4,13276011957069E+24;3,96957780342072E+23;105,9721;22,43408;14;314,9548;False
79;1,29084103663213E+24;1,84561356482223E+23;76,84795;17,87695;14;318,3165;False
80;9,86001889457838E+23;2,00389504175536E+23;66,56682;14,43921;14;317,2721;False
81;1,62317354263882E+24;3,85703379302568E+23;77,35057;16,2854;14;314,5706;False
82;3,47493769668717E+24;3,73900222457579E+23;94,076;18,73242;14;318,2686;False
83;1,91397752781919E+24;3,44356145520574E+23;96,17365;25,1189;14;318,2686;False
84;1,18734867748313E+24;3,06467528370814E+23;62,69276;11,7002;14;316,2333;False
85;5,99221959231673E+24;5,38142970271486E+23;110,6569;21,3667;14;316,2333;False
86;2,57958087382212E+24;3,38168837111854E+23;93,16317;20,71582;14;318,7879;False
87;1,30636454823091E+24;2,89485231142043E+23;63,29209;11,61035;14;318,7077;False
88;6,20989866637628E+24;7,31452380549373E+23;122,9245;26,74268;14;318,0574;False
89;2,20213685518318E+24;2,43348682030099E+23;77,91222;12,20874;12;314,1733;False
90;2,53916953393377E+24;2,8204402301508E+23;63,51701;9,00415;14;317,4605;False
