Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;7,5073798823566E+22;4,23437682074979E+21;35,69394;11,72917;14;347,9778;False
2;2,62736489453085E+22;4,81173457598944E+21;26,48325;9,365501;14;349,1123;False
3;1,81473123445646E+23;2,27032658980297E+22;39,91416;10,44141;14;350,129;False
4;7,35542158545769E+23;6,58986002495569E+22;54,03463;11,52458;14;349,5916;False
5;1,05194056878285E+24;1,5476311998647E+23;65,02494;12,20117;14;294,165;False
6;3,19013005625226E+24;2,75326237691981E+23;80,65305;13,64223;14;314,3511;False
7;8,05812464844218E+24;1,54814534409123E+24;95,03086;13,2681;14;307,6816;False
8;1,03609158744332E+25;9,38267543429291E+23;141,1048;26,18994;13;310,073;False
9;5,54976348295451E+24;8,76151571604151E+23;124,4869;26,59695;14;298,0472;False
10;7,52556426473042E+24;7,39739380489073E+23;122,3492;21,73767;13;309,781;False
11;7,50528933302686E+25;4,35378672013751E+24;171,5314;18,67688;13;309,5574;False
12;9,31726711711146E+24;1,14519477742537E+24;107,9935;15,26453;13;309,3529;False
13;5,87712286205107E+24;8,63200849590885E+23;100,2497;14,09418;12;308,1625;False
14;6,24964794109061E+24;1,31279496769438E+24;94,3958;13,35361;13;310,03;False
15;1,12013172526293E+25;2,26685519365559E+24;122,5967;18,72629;13;310,03;False
16;4,38081060482611E+24;8,79357333876561E+23;109,3028;21,09116;13;310,4204;False
17;1,85014513520247E+25;2,38717066273714E+24;168,7822;31,05838;13;312,218;False
18;3,29386906854565E+24;7,84374296397066E+23;97,81843;18,427;13;309,1109;False
19;1,95531083021174E+25;2,80842833820764E+24;138,6655;19,71417;13;310,03;False
20;2,65286949979659E+24;8,05604151567812E+23;65,32733;8,415771;13;310,03;False
21;8,13585000459675E+24;1,89936002182593E+24;112,9451;17,7489;13;310,03;False
22;1,26941004171286E+25;1,53587704451285E+24;108,4532;13,73828;13;310,03;False
23;4,999308028109E+24;1,10360340384193E+24;80,0891;10,22455;13;309,8665;False
24;8,08475598227709E+24;1,1758164091267E+24;97,31862;12,86652;13;308,7344;False
25;3,96190435834736E+24;9,85509034945408E+23;107,9186;21,23828;13;309,0963;False
26;4,02710956342266E+24;7,9328477859581E+23;78,39105;10,60974;13;310,1675;False
27;9,81772151922368E+24;1,75774295543132E+24;123,4121;19,93793;13;309,3727;False
28;1,16366534952398E+25;1,11656516092526E+24;101,174;12,21704;13;309,3727;False
29;8,83937365946214E+24;1,09390868747317E+24;96,56783;12,24048;13;308,7913;False
