Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;6,77834749221802;1,25197876903588;939,7151;37,9364;13;324,1929;False
2;10,5920190811157;1,50137295798807;917,3614;34,37411;13;324,2794;False
3;11,7405157089233;3,97688919002794;920,6356;33,909;13;324,2976;False
4;11,052848815918;2,2738111968381;921,0159;34,19238;13;325,6955;False
5;53227436;2661375,95237925;1750;99,07587;13;284,6325;True
6;7,87973165512085;2,89307048469782;914,7913;38,43628;13;284,6325;False
7;13,9797563552856;3,74180501102651;921,803;34,13611;13;302,6725;False
8;18,007251739502;3,29497689950804;923,7354;33,73682;13;285,9957;False
9;16,9706745147705;5,12977948151529;922,36;34,02112;13;285,9957;False
10;39444780;1972244,82034086;1750;89,08545;13;291,2548;True
11;38307800;7362170,68263356;1750;88,16675;13;291,5309;True
12;51567820;15140181,0993157;1750;97,9718;13;289,2021;True
13;82076608;12619845,5942204;1750;115,6129;13;289,9866;True
14;68759400;28467755,684428;1750;108,5338;13;289,9866;True
15;69712384;29488926,0372351;1750;109,0673;13;289,5212;True
16;78603872;31895870,9318914;1750;113,8406;13;289,5212;True
17;65730904;30555655,7805196;1750;106,8047;13;288,9257;True
18;71788264;43012667,0648781;1750;110,2136;13;288,5408;True
19;68062608;32246355,9995895;1750;108,1399;13;289,2773;True
20;74721152;26433267,8852844;1750;111,8;13;289,2773;True
21;71199312;35687056,1415347;1750;109,8909;13;289,2221;True
22;67968336;31062566,4993909;1750;108,0864;13;289,2221;True
23;76009888;31743889,693763;1750;112,4841;13;288,8386;True
24;78819816;28890543,1570454;1750;113,9509;13;287,9687;True
25;73252544;35401662,8525348;1750;111,0107;13;289,0061;True
26;74504024;41082184,6669193;1750;111,6853;13;290,8456;True
27;71261760;23836328,4422497;1750;109,925;13;289,0061;True
28;67964792;23946307,0858657;1750;108,0842;13;289,0061;True
29;73871456;43850233,5207898;1750;111,3445;13;289,0061;True
30;72767232;38835650,2100043;1750;110,7478;13;289,0061;True
