Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;9523457687552;2417163100652,33;927,0142;40,6804;12;276,3828;False
2;10691200155648;3909537452480,4;928,8969;39,39664;12;326,0937;False
3;7943816740864;3074142637782,34;929,4843;43,41962;11;273,6891;False
4;12080673456128;4103262261450,84;931,9326;38,05176;13;312,6034;False
5;14113352712192;3862298286585,87;1062,12;46,83075;13;312,6034;False
6;12689837391872;3904539177227,14;1194,546;61,13147;12;289,3523;False
7;14537459761152;4750713358384,6;1078,026;47,75952;13;312,6034;False
8;13587067174912;5115824476619,45;937,6116;37,03772;13;312,6034;False
9;10868953710592;5353584401526,5;933,6836;39,53345;12;298,4692;False
10;15999247056896;5353615282744,23;913,7374;33,30725;12;298,4692;False
11;13408133971968;6000905830747,2;930,3698;36,62512;13;307,2882;False
12;13141363654656;6411535347411,35;930,0943;36,849;13;307,2882;False
13;13933582745600;7450100347061,3;923,2012;35,60144;13;302,1988;False
14;11057677467648;4972417940346,89;1075,809;52,08972;12;321,3725;False
15;14163198869504;4274527885530,72;917,5565;35,01636;12;327,464;False
16;13988508205056;7842926501441,9;907,1932;34,36255;12;317,1581;False
17;14835888685056;6939757616861,55;1083,255;47,89917;12;314,1824;False
18;15356735258624;7420764835205,8;952,5472;36,71704;12;328,83;False
19;12873813196800;7147252702126,55;968,0566;40,18164;12;316,498;False
20;14923248697344;7342068656333,95;948,8864;36,77686;11;322,4806;False
21;16915426705408;4555826909297,75;1076,205;45,28418;11;320,8641;False
22;15695813279744;6514089830670,92;914,9877;33,64282;11;321,8978;False
23;35255188717568;8009005411692,39;1750;93,97607;11;316,0206;True
24;16104135065600;6619549141784,7;941,3121;35,28955;11;321,8978;False
25;46528798392320;10649837057331,9;1750;85,67041;12;322,453;True
26;47853191823360;11516326829053,6;1750;84,87134;11;322,8672;True
27;45388220334080;11450045404292,9;1750;86,38501;11;322,8124;True
28;56346804224000;12684379385551,9;1750;80,35742;12;321,9284;True
29;48340326678528;12091805736809,3;1750;84,57324;11;318,0527;True
30;45035965906944;9944470656653,99;1750;86,61719;12;325,6403;True
