Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;5340589457408;974512823533,9;946,8176;51,70799;12;402,0294;False
2;8090705461248;2723491722866,55;926,0994;43,03496;13;362,0989;False
3;8518275432448;2814070343073;922,9509;42,02066;13;362,0989;False
4;7554887319552;1883715060277,8;809,3062;33,71054;13;362,0989;False
5;9734431178752;4505446469863,1;964,0242;43,83752;12;372,3972;False
6;13676529582080;4080429074529,38;912,212;35,07953;12;369,4868;False
7;11672678825984;4392786425495,55;926,5228;38,15448;13;376,7974;False
8;12010919034880;4833665870111,95;932,1625;38,2467;13;374,4604;False
9;12630186000384;4052033795257,6;917,0278;36,42566;13;384,8893;False
10;9752623972352;4332305133922,75;934,1386;41,18115;12;382,4485;False
11;14652745449472;4297405246796,3;1053,419;45,63428;12;382,4485;False
12;11038901665792;4123370530502,35;918,9547;38,25354;12;382,4485;False
13;10328470454272;3325765772851,8;928,6161;39,94226;13;389,0492;False
14;11144369537024;4625528038240,66;1070,914;51,62915;12;382,4485;False
15;13096285372416;5264198119886,9;933,2379;37,26416;13;386,7091;False
16;14027441831936;4985582047280;916,743;35,15771;12;389,726;False
17;14332218834944;5702358232202,06;911,9281;34,54321;12;389,726;False
18;14467729457152;5963311357132,75;929,6694;35,78027;14;391,4398;False
19;12002915254272;4394683633556,75;916,2531;36,99609;14;390,0034;False
20;12960696107008;6295058498395,8;911,1556;35,66333;14;390,0034;False
21;12519242465280;6573650470030,35;948,2681;39,05591;14;392,4037;False
22;12423330267136;5120906684137,2;956,585;39,84009;14;392,4037;False
23;14850363228160;4939761446169,55;909,7823;33,97998;13;392,1665;False
24;13986903883776;5703234978700,7;914,949;35,05762;14;391,4521;False
25;12800850132992;5009358811009,55;1188,538;60,62402;14;395,4004;False
26;11163589935104;5655360590643,05;929,293;38,97925;14;390,3966;False
27;15576361598976;4800603807798,7;913,3002;33,68457;12;380,8615;False
28;15912318009344;6378784695677,1;1358,058;73,4021;13;394,0234;False
29;22231849631744;5464829820341,1;1614,77;92,50244;13;393,741;False
30;16420076257280;6815847225633,6;1074,241;45,68945;14;389,1609;False
