Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;9688086216704;1313638625362,94;937,1046;41,37507;12;301,3571;False
2;15981250347008;5516084375584,5;1190,345;56,29474;12;301,3571;False
3;15562937729024;7204009904195;925,0563;34,45038;12;300,6387;False
4;13617341661184;9081169474355,2;926,1487;36,10013;12;300,9644;False
5;13333101019136;7740872019148,75;921,6431;36,00458;12;301,3427;False
6;14906964312064;6646183124946,9;917,5137;34,3855;12;301,7934;False
7;13605482266624;7751158344663,2;928,542;36,29364;12;299,3794;False
8;15825051320320;9535653412864;920,9686;33,96106;12;301,881;False
9;34527883821056;10959666153062,4;1750;94,59009;12;301,3683;True
10;28495067480064;10065516970290,9;1621,82;85,75513;12;301,3683;False
11;22945776795648;9308305028122;1612,927;91,0553;12;301,6787;False
12;27104093667328;10919195017215,9;1581,446;82,94861;13;303,3995;False
13;27651355967488;10097039656638,7;1750;101,8696;12;301,6787;True
14;33568076070912;10311212777472;1750;95,48706;12;302,1897;True
15;17910934274048;7894683954675,4;1750;117,7362;12;300,9998;True
16;22221667958784;10195863940194,6;1750;109,5737;12;301,3708;True
17;26087247577088;10681094820266,2;1750;103,8523;11;297,1886;True
18;28426408820736;10151817720081,5;1750;100,9373;12;302,5836;True
19;34676555120640;10820823404544;1750;94,45142;12;300,3103;True
20;42514761383936;10954795376514,9;1750;88,22998;12;297,4451;True
21;35431940882432;10946513331814,4;1750;93,77393;13;300,1962;True
22;34114690351104;14456995538367,6;1750;94,97241;12;301,8265;True
23;40140755959808;13023612580659,2;1750;89,9458;12;299,8376;True
24;39709657006080;14458326747565,4;1750;90,27075;12;299,8376;True
25;30970254196736;9276191722716,5;1750;98,08643;13;301,2024;True
26;35442107875328;10684259326361,6;1750;93,76782;13;301,2024;True
27;44546201223168;13010618483584,6;1750;86,88208;13;304,3604;True
28;40379063730176;12846976969807,2;1750;89,77173;13;301,2024;True
29;44352688619520;13712806792396,8;1750;87,00854;13;304,3604;True
30;41419855101952;13964436094512,8;1750;89,02002;13;304,3604;True
