Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;4,43517208099365;0,806166880013253;671,3522;29,01304;12;325,8603;False
2;9,38161373138428;1,48310885054694;783,3082;32,54863;12;274,5736;False
3;18,2919044494629;3,72268969837809;922,5972;34,31277;12;274,3554;False
4;46046360;4570254,06024759;1750;94,09198;12;274,3554;True
5;42607844;5827978,49785577;1750;91,53473;12;274,4386;True
6;48882444;4411138,47770748;1750;96,11053;12;273,9752;True
7;44288964;8334892,62514469;1750;92,80145;12;274,8637;True
8;41841336;9967171,35068633;1750;90,94617;12;273,9752;True
9;51246388;9051053,63582086;1750;97,7395;12;275,9662;True
10;52023928;7231751,58570047;1750;98,26404;12;275,9638;True
11;39908332;5615144,13256533;1750;89,43323;12;274,7025;True
12;77962856;25496013,489879;1750;113,4951;12;274,2161;True
13;44057404;16032403,3033877;1750;92,62708;12;273,4933;True
14;49088484;24910449,4148026;1750;96,25269;12;272,6979;True
15;42472496;15388709,2581605;1750;91,43298;12;275,6052;True
16;45706260;24731261,0305995;1750;93,84521;12;274,8389;True
17;48322940;23514867,6946229;1750;95,72217;12;277,1614;True
18;47142460;22726560,2910375;1750;94,88086;12;273,886;True
19;48657464;23289285,7578302;1750;95,95459;12;275,1552;True
20;72113176;21775312,3070212;1750;110,3792;12;275,0407;True
21;86540392;24850262,1505966;1750;117,8081;12;271,5118;True
22;76457640;24047367,3067819;1750;112,7051;12;271,5118;True
23;75080752;25797628,9587716;1750;111,9761;12;271,5118;True
24;81307640;28097468,6147637;1750;115,2092;12;271,5118;True
25;84257536;27451510,1466816;1750;116,6868;12;271,5118;True
26;80924064;27014324,7504162;1750;115,0146;12;271,5118;True
27;85621432;32806732,4507082;1750;117,3596;12;272,273;True
28;85633456;37076840,7265001;1750;117,3657;12;272,5168;True
29;89286664;43838509,0082618;1750;119,1333;12;272,0865;True
30;93879992;36523519,8066382;1750;121,2932;12;272,0865;True
