Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;3,73464025518648E+23;1,87849485732861E+22;48,37423;14,77276;13;446,4821;False
2;5,61487256319936E+23;1,78990651792322E+23;49,97529;13,34654;13;446,0664;False
3;7,30794788077768E+23;1,12828053879109E+23;48,39487;11,1512;13;446,8488;False
4;3,4648660626533E+24;4,99702682879695E+23;61,74951;10,23444;13;446,6663;False
5;1,99488970312769E+24;4,35077854618656E+23;61,53286;12,56422;13;444,7265;False
6;2,89464002161641E+25;1,8157086696186E+24;93,71786;11,09819;13;444,7265;False
7;9,18566400966435E+24;8,42723574856579E+23;81,1618;12,60571;13;444,7265;False
8;9,63835229737996E+24;1,19507263464012E+24;78,49799;11,53981;13;445,4604;False
9;1,77255213443662E+25;2,3121869385322E+24;93,15194;13,20277;13;445,4604;False
10;7,13048515875701E+24;2,15174914324394E+24;69,43968;9,952408;13;445,4604;False
11;5,94374846642005E+24;1,2755769120881E+24;64,02975;8,969604;13;445,6413;False
12;1,05375342255669E+25;1,05418275400472E+24;77,53761;10,84711;13;444,867;False
13;1,57555727921477E+25;2,32051621369829E+24;81,56664;10,36359;13;444,1982;False
14;1,25501039799677E+25;1,55521882356556E+24;78,56199;10,40588;13;443,5493;False
15;4,71483934659644E+24;8,48766532279955E+23;64,31156;8,915619;12;440,8927;False
16;2,94266064343517E+24;6,68430629848993E+23;63,2413;11,41568;13;444,1914;False
17;6,01110214071918E+24;6,8677582380716E+23;64,26701;8,972504;13;444,3492;False
18;5,41509591014816E+24;7,60459829585218E+23;64,3596;9,389069;13;445,3314;False
19;6,03579829580861E+24;9,19485334967008E+23;78,43118;13,81299;13;445,654;False
20;4,0704965937144E+24;7,00525828378129E+23;62,63626;9,885193;13;445,4527;False
21;1,81648576481369E+24;4,97272365953998E+23;52,20381;9,128052;13;445,9573;False
22;1,70154482306635E+24;4,7969091216644E+23;65,65191;15,46246;13;444,4001;False
23;7,58199112546964E+24;8,02507878095179E+23;78,046;12,42535;13;443,2013;False
24;4,55784631354451E+24;1,06311176327336E+24;77,67178;16,63129;14;448,1595;False
25;1,14735462312185E+25;1,54169343254522E+24;83,92043;12,41699;13;444,0983;False
26;7,39857803144851E+24;1,38092068529891E+24;80,24159;14,61578;14;445,4271;False
27;8,8949721461003E+24;1,78331388739012E+24;77,63612;12,73218;14;447,6241;False
28;8,65191092865608E+24;1,49917923974055E+24;78,4632;12,94006;14;440,949;False
29;1,46152388845281E+25;1,77938214773949E+24;91,21458;13,58331;13;445,4002;False
30;9,11749003171469E+24;1,58107698233235E+24;77,29574;11,4093;13;445,663;False
31;7,49879919200097E+24;1,57202273735704E+24;84,71268;15,07928;13;447,6036;False
32;1,03596891659523E+25;1,5514545687271E+24;96,394;17,50171;13;445,5177;False
33;3,51786874652383E+24;8,41462977967597E+23;64,07247;9,953186;12;443,2569;False
34;4,38949758013294E+24;7,9780355224162E+23;62,18147;9,463806;13;445,9113;False
35;3,54989142954467E+24;9,68167954191165E+23;65,77392;11,59686;13;445,6642;False
36;1,97992737607127E+24;5,39662330308926E+23;65,67885;13,16699;12;443,4241;False
37;3,91545776261277E+24;7,08625200994858E+23;82,87502;16,68085;12;442,5635;False
38;7,80473959538495E+24;7,40749531934605E+23;78,93299;12,698;13;446,4574;False
39;6,4399082359276E+24;1,12841707275581E+24;78,18397;12,1626;12;444,9155;False
40;7,98775839025151E+24;1,38885925391017E+24;77,26878;10,92029;12;444,9155;False
41;7,5698053216267E+24;9,14938040990899E+23;81,90253;13,97375;13;447,9462;False
42;8,17289337253977E+24;1,11559598051767E+24;86,32203;13,75806;12;445,5198;False
43;2,89679483190852E+24;4,77480644610091E+23;52,59875;7,799927;13;448,697;False
44;2,46994005634664E+24;6,41876431002291E+23;62,80184;12,04773;13;444,1522;False
45;7,24801570631889E+24;1,5456504417766E+24;96,17924;20,17383;13;447,2617;False
46;2,88974863684097E+25;2,44158389650522E+24;99,88564;13,90137;14;446,8115;False
47;2,86755011325304E+24;1,05751363642283E+24;68,88062;13,86938;13;443,1887;False
48;5,43689073827124E+24;1,40626000868232E+24;70,87981;12,75085;14;450,2744;False
49;4,7027792111975E+24;8,90651111063942E+23;80,21044;17,67908;14;449,076;False
50;2,62161391309885E+25;2,77518944604426E+24;109,7325;17,75415;14;448,8132;False
51;9,14457619308317E+24;1,35313742914366E+24;76,61881;12,2738;14;448,6164;False
52;4,27008949990081E+24;1,40838642029684E+24;74,1563;13,92493;13;443,4044;False
53;1,82099155499192E+25;2,11923911712596E+24;96,1851;15,47583;14;451,2912;False
54;5,81017559258232E+24;1,82384826978194E+24;77,20747;15,01453;14;451,2912;False
55;4,79373145931368E+24;1,57009710679076E+24;64,29137;10,83679;14;450,3454;False
56;1,40956459854394E+25;1,98054766495223E+24;92,27292;15,6001;14;450,6899;False
57;2,22444513689834E+25;2,42520288603847E+24;104,4081;17,06506;14;450,4807;False
58;1,16382906437763E+25;9,24430959241489E+23;79,56861;12,29004;14;453,6252;False
59;5,57123895182082E+24;1,2068275574037E+24;61,87655;9,436157;14;451,2966;False
60;1,70185245134682E+25;3,14234076418219E+24;92,53064;14,69873;14;453,6252;False
61;1,60195076534328E+25;1,50648543565664E+24;101,144;18,18823;14;452,222;False
62;1,12995980462895E+25;2,01063742567767E+24;81,52787;13,05994;14;452,4078;False
63;1,1989322960127E+25;1,56301883598099E+24;82,32235;13,14087;14;455,5938;False
64;1,27578719643129E+25;1,84740768489625E+24;84,81375;13,74512;14;457,3921;False
65;4,76583709997047E+24;9,31761733570139E+23;82,23285;18,95447;14;456,3478;False
66;1,02800591834721E+25;1,59143303468916E+24;80,98129;13,43823;14;454,9219;False
