Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;3,23626399408632E+23;2,37074197611787E+22;34,91077;8,045433;14;438,4847;False
2;6,73375694268645E+23;1,76384520683211E+23;49,02739;10,62958;14;379,2065;False
3;4,37936484125933E+24;7,44772894953869E+23;62,89907;10,37987;14;438,6125;False
4;4,76321795054238E+24;6,11528367844335E+23;64,72039;10,66663;14;437,8904;False
5;5,17491296124018E+24;9,7584515344608E+23;62,5196;9,591087;14;438,0549;False
6;3,5342021854796E+24;1,00534210603932E+24;63,27186;11,38902;14;437,1751;False
7;7,28349974792693E+24;1,5032345009545E+24;63,91013;8,808838;14;437,3778;False
8;9,61468685411564E+24;1,24409923286476E+24;96,03628;19,07489;14;436,7805;False
9;5,18027635207961E+24;1,14815980631357E+24;66,26967;10,84801;14;437,2278;False
10;8,05823878767113E+24;1,95095619011677E+24;77,61253;12,83905;14;436,4896;False
11;5,55758663182402E+24;1,60411574744836E+24;63,88538;8,934814;13;436,1344;False
12;8,79594887099113E+24;1,24420742660437E+24;79,86766;12,10602;13;436,1344;False
13;1,16557770042367E+25;2,35689647591934E+24;75,95633;10,62173;14;435,9596;False
14;3,73838170164171E+24;1,02244600893615E+24;69,38631;12,45749;13;436,4737;False
15;8,29572562964058E+24;2,0892437831197E+24;93,49057;17,44254;13;436,4737;False
16;2,00860278208778E+25;2,14665666111947E+24;108,4265;18,80331;14;441,08;False
17;2,73750085576376E+24;8,45568237624E+23;60,16228;11,32581;14;438,5355;False
18;2,86057234407678E+24;8,72553133157657E+23;72,12566;16,65271;14;439,4888;False
19;5,56464827603974E+24;9,75662948924408E+23;62,28188;9,280273;14;439,242;False
20;7,84906366262956E+24;1,37347557823047E+24;79,43011;13,75305;14;439,6004;False
21;2,53579597031914E+25;1,81264397194894E+24;95,28879;12,92999;14;438,5316;False
22;5,82365497435343E+24;7,78246031257385E+23;80,2771;15,81769;14;439,1629;False
23;1,17348166909065E+25;1,38685045573395E+24;107,7097;22,82465;14;439,1629;False
24;1,10357819359193E+25;1,9470628070246E+24;81,10226;12,54077;14;437,6489;False
25;3,4006748520413E+24;5,60991623368671E+23;79,32994;19,15424;14;438,8929;False
26;7,68947511504038E+24;1,19981731407966E+24;82,46948;15,01721;14;438,8929;False
27;4,72340872390981E+24;1,23032123095767E+24;79,07147;16,62024;14;438,7366;False
28;4,09480548247044E+25;3,63400218863103E+24;125,3262;19,42694;14;439,3943;False
29;3,15815452772096E+25;3,56511127768276E+24;121,0505;19,92749;14;439,3943;False
30;1,03485346503952E+25;2,13373202195246E+24;80,63557;12,67712;14;437,0742;False
31;7,53669399247514E+24;1,45658373161183E+24;78,13596;13,45471;14;438,8083;False
32;4,75771367269509E+25;6,44573023151535E+24;109,4362;13,66779;14;437,6294;False
33;3,45944404575536E+25;3,24594517054489E+24;108,515;15,22308;14;439,765;False
34;9,81286887261079E+24;2,21722167930327E+24;78,22165;12,20496;14;439,765;False
35;7,80734808028912E+24;1,50096539488851E+24;95,25682;20,54016;14;439,765;False
36;1,70827018890221E+25;2,02901689010689E+24;88,68214;12,87219;14;438,2067;False
37;8,91756191360082E+24;2,15696882186894E+24;83,19504;14,42883;14;438,5664;False
38;4,1458201261445E+24;1,44338169724902E+24;86,65381;21,40515;14;437,1685;False
39;8,1259763848313E+24;2,27069325536633E+24;84,31778;15,44177;14;439,3638;False
40;4,92844716659285E+24;9,10399539462584E+23;63,26781;10,00354;14;437,1685;False
41;1,34048557721317E+25;2,39735500389487E+24;78,24397;10,87292;14;440,9593;False
42;1,1772103325287E+25;1,49230598350041E+24;94,93821;17,36011;14;440,9593;False
43;1,24048912106195E+25;1,82331890195224E+24;92,19173;15,85425;14;438,6165;False
44;1,41974604835113E+25;2,28897737782915E+24;83,12531;12,0741;14;439,8113;False
45;2,25181526283341E+25;2,9851484885555E+24;110,6626;18,76038;14;440,3345;False
46;2,13129691919234E+25;2,37560535384233E+24;109,2384;18,62939;14;440,2022;False
47;1,33037791438228E+25;2,31452087878876E+24;81,53609;11,91614;14;441,1267;False
48;6,55437431813024E+24;9,42952131247179E+23;94,29267;21,47339;14;438,2555;False
49;7,38890502002486E+24;1,19514885774473E+24;82,96623;15,64221;14;443,3211;False
50;2,44838169242415E+25;3,43990847356976E+24;113,0759;17,48474;13;440,8893;False
51;1,14930121579023E+25;1,28043129453958E+24;109,9881;22,14746;13;440,8893;False
52;1,51139097170727E+25;2,57360959656454E+24;90,46132;14,26196;14;443,1062;False
53;5,11582054598231E+24;1,23903930538757E+24;70,65533;12,77576;14;444,5575;False
54;1,88174855831815E+25;2,16301076337832E+24;113,8463;21,71216;14;445,4717;False
55;2,29920125900995E+25;3,7864404740892E+24;123,321;23,88647;14;445,4033;False
56;1,55907511338491E+25;2,33771185879786E+24;100,7166;17,84619;14;444,455;False
57;4,77744961359525E+24;9,12600497512767E+23;85,82656;18,43079;13;444,7409;False
58;3,04721050542275E+25;4,09254529382987E+24;96,47519;12,61975;14;445,8346;False
59;3,80203513201788E+25;4,02304165283188E+24;110,6804;15,56213;14;445,8346;False
60;8,16608364167281E+24;1,45385344418427E+24;79,15679;13,67822;14;446,2142;False
61;2,61204927629663E+25;2,55636606571506E+24;109,0265;17,41919;14;446,3009;False
62;2,38780304605469E+25;3,18494357477193E+24;140,0244;28,43872;13;445,0686;False
63;1,1349533382497E+25;2,77749385160315E+24;95,61646;16,60315;13;445,8012;False
64;7,2435631234681E+24;1,23298010987201E+24;94,45846;19,26172;13;444,7954;False
65;3,91154953165038E+25;5,04931847486249E+24;124,6902;18,39966;13;448,7914;False
66;2,16138586461957E+25;2,03402589657255E+24;97,44781;13,58105;13;448,2592;False
67;1,51021891170569E+25;2,92521414433905E+24;110,3318;20,24829;13;445,366;False
68;4,4437811597951E+24;1,08721774743673E+24;66,278;10,87305;13;448,178;False
69;2,20837179703402E+25;3,11203912823745E+24;128,6085;24,43774;13;446,5661;False
70;1,22477895147158E+25;3,00680856837488E+24;84,16351;12,34497;13;449,1378;False
71;1,38537146310697E+25;2,85159606585803E+24;111,3391;21,48755;13;447,3723;False
72;1,9518492986863E+25;2,55094563198857E+24;95,90547;13,66162;13;448,7665;False
73;9,06957461398323E+24;1,58401820967054E+24;96,3159;18,49097;13;447,077;False
74;1,62486969193336E+25;2,99355861172081E+24;91,26807;13,20264;13;449,6209;False
75;1,91715961999494E+25;2,34286514287095E+24;95,77805;13,74609;13;449,6237;False
76;2,42530527675654E+25;3,60701476808894E+24;109,0863;16,62085;13;449,785;False
77;8,20045972571492E+24;2,25400967411844E+24;114,5649;28,39258;13;448,1795;False
78;1,09977366791888E+25;1,76145601588867E+24;79,78366;11,47363;13;449,2763;False
79;5,17641637088219E+24;1,25408202219255E+24;64,04636;9,548584;13;449,2615;False
