Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;10066458574848;2913103728434,96;1064,237;52,55953;13;306,8643;False
2;12668688662528;3830105952617,38;913,2436;36,18436;11;444,7805;False
3;14123293212672;3938810829340,8;916,6895;34,94577;11;301,3074;False
4;12832642957312;4875387274967,43;911,4246;35,8873;12;445,1248;False
5;14848289144832;3813485371026,82;1058,934;46,02319;12;445,1248;False
6;15296271220736;5565533715745,75;1081,944;47,55127;11;444,5038;False
7;14208265617408;2764926033293,64;915,1215;34,96619;12;445,9704;False
8;11687325335552;5290855231587,37;913,8773;37,22412;11;444,5038;False
9;11730032787456;6249727965593,6;920,1503;37,68665;11;444,5038;False
10;13447652704256;5894795852715,82;915,1921;35,61914;11;444,5038;False
11;12751280799744;8256064467547,57;928,6909;37,33032;12;446,4231;False
12;14333457203200;6657660376705,25;916,4956;34,97278;11;449,4822;False
13;12842214359040;6969354245191,71;922,7827;36,73816;14;424,2276;False
14;11708031565824;6280565321300,63;921,9539;37,85376;11;442,5404;False
15;13155352707072;5792854471027,2;1066,01;48,50928;14;424,2276;False
16;12398502084608;7536923226286,8;911,8607;36,30444;14;424,2276;False
17;14149171019776;7042279180009,6;916,1854;35,06421;14;424,2276;False
18;13579041374208;5875110515001,6;1061,717;47,65527;12;442,5612;False
19;13238706110464;6758225688257;931,9918;37,0791;12;416,9563;False
20;14514941591552;9844873239881,1;918,2235;34,94873;12;444,2184;False
21;15168593461248;7671896551820,4;913,3918;34,07349;11;440,6773;False
22;16990281400320;9160026989747;1200,6;56,41675;11;441,1141;False
23;16442146684928;5089866252708;1324,266;69,21826;11;439,998;False
24;12254115266560;7717456840171,15;1069,023;49,927;12;415,784;False
25;13676428918784;5870784426079,29;936,118;37,03882;11;441,0713;False
26;13899715837952;7471720207431,2;921,1001;35,6709;11;438,2867;False
27;12768155533312;7211268061297,4;1080,183;50,26807;12;413,6014;False
28;12342680092672;7310469737698,4;1062,347;49,24414;12;439,321;False
29;14689121599488;6403459386662,56;919,4012;34,89331;12;440,788;False
30;14631576797184;7637777606019,6;919,6093;34,91821;12;415,2086;False
