Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,53915667533875;0,12538481836613;930,9966;43,04794;11;405,0782;False
2;1,99047780036926;0,508846802452866;644,6166;30,90018;12;345,9297;False
3;2,87161087989807;0,387732758721517;652,4404;28,10754;11;379,0414;False
4;6,00228691101074;1,5333777127318;649,5438;26,05182;11;342,0212;False
5;8,07595634460449;1,15390420422693;666,1275;25,46924;12;340,9061;False
6;5,86489725112915;0,950049094108289;660,7425;26,6228;11;341,5249;False
7;7,05809831619263;2,0381711817233;668,4454;26,03809;11;343,5337;False
8;7,83396482467651;2,1455743359993;652,2126;25,26245;11;335,5694;False
9;6,63447237014771;1,8999170476776;657,5992;25,80823;12;345,4793;False
10;9,11701011657715;1,60568487505608;921,8259;34,38696;12;343,9716;False
11;5,56256246566772;1,34882222866872;789,9197;32,35547;11;336,361;False
12;6,52129602432251;1,39848391613801;650,4133;25,83398;11;339,2359;False
13;4,62385416030884;1,04967278228212;912,9355;38,2666;11;341,6168;False
14;3,64301013946533;0,913741002894726;568,1351;24,73682;11;342,7765;False
15;4,33887815475464;1,15938816790092;689,3029;29,27881;12;339,79;False
16;6,22247934341431;1,82039196959075;653,902;25,979;11;344,4112;False
17;4,16375064849854;1,02364664946067;804,9366;34,57397;11;336,8934;False
18;5,70406246185303;1,61386014494594;909,4173;37,18115;12;334,7992;False
19;6,55757713317871;2,22173332179337;799,9366;31,63965;11;341,4757;False
20;4,34898710250854;1,59459142357227;659,9592;27,91309;11;342,4341;False
21;6,70741701126099;1,14859055005799;916,4213;36,01563;12;343,2851;False
22;3,32891488075256;1,39186831011067;930,6139;40,73779;12;349,4722;False
23;4,11549234390259;0,863987911055363;939,9962;39,92529;12;345,8735;False
24;5,73229169845581;1,83129400214623;656,8092;26,67285;11;338,7782;False
25;7,70941495895386;1,72929368317867;913,4618;35,27246;11;339,4683;False
26;4,85781908035278;1,44776665405952;680,238;28,30078;12;341,0878;False
27;7,67446756362915;1,6000955975848;644,7058;24,89355;11;340,0024;False
28;6,93052291870117;1,0605550794511;920,0018;35,84814;11;345,4248;False
29;9,69422340393066;2,03765442523927;917,7101;33,88037;11;344,0645;False
30;5,31649351119995;0,85521044926653;650,5092;26,59766;11;342,6868;False
