Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,76819589979482E+23;1,36995321635937E+22;40,43147;9;13;324,0294;False
2;2,38423259227011E+24;1,47526240554012E+23;64,25106;11,28789;14;369,8718;False
3;2,859469862888E+24;5,27520904887894E+23;64,61328;10,57685;14;367,8542;False
4;3,68368969953655E+24;4,48306278667028E+23;64,79744;9,599998;14;366,1196;False
5;1,90108512720911E+24;3,82469435338013E+23;79,59164;19,61346;14;366,3194;False
6;3,74565894217879E+24;9,38432608395837E+23;63,88468;9,396019;14;371,0568;False
7;1,25587710673786E+24;3,0240010881566E+23;48,26563;7,753723;14;368,3184;False
8;2,38023656633514E+24;2,91733975322755E+23;64,83713;11,34866;14;365,1687;False
9;1,94344288682761E+24;4,12718526507829E+23;63,38732;11,81142;14;368,1174;False
10;8,13707786599916E+23;1,47823461442403E+23;63,95459;17,10162;14;366,6419;False
11;8,77248100964967E+23;1,94229129955838E+23;56,064;12,35872;14;367,144;False
12;6,87051865329074E+24;8,7720622316631E+23;105,4101;21,87646;14;368,9908;False
13;3,10429303262164E+24;3,02883783468566E+23;96,49767;24,93716;14;369,5568;False
14;3,00744445570053E+24;3,11459962560534E+23;91,94152;22,46066;14;366,9293;False
15;2,35590934612719E+24;3,13461085333929E+23;94,2261;26,57983;14;369,8728;False
16;1,80806367322254E+24;4,57526188554632E+23;77,09637;18,88046;14;370,0471;False
17;1,17585276745703E+25;1,37237928511917E+24;94,39131;13,99557;14;370,3165;False
18;4,58694778170304E+24;9,4577464984283E+23;80,30771;14,1149;14;368,1791;False
19;9,7315602364199E+24;1,10216282906931E+24;107,9369;18,29745;13;367,5595;False
20;1,31679500026005E+25;1,59333938610871E+24;107,4858;17,6955;14;369,7016;False
21;5,95540853805689E+24;1,39681089754339E+24;92,3063;15,83813;13;368,6911;False
22;6,60750324690553E+24;1,63894148763778E+24;82,17989;12,87512;14;368,1826;False
23;5,88342242515225E+24;1,02082229394207E+24;83,82759;14,2179;14;371,767;False
24;6,16182068671267E+24;1,48430516046551E+24;77,32781;11,73932;14;371,9914;False
25;3,53766440875793E+24;9,3647363628584E+23;83,19038;17,11609;14;372,0616;False
26;4,67809746762688E+24;1,02877679425809E+24;91,61958;18,76715;14;369,4505;False
27;7,73870774559085E+24;1,26361713854924E+24;79,69997;10,43079;13;368,2128;False
28;1,34259784470176E+25;1,90920007854111E+24;90,85719;12,27252;14;370,5778;False
