Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,92891279724904E+23;1,02380666775875E+22;42,2898;11,15862;14;339,5599;False
2;8,2357910052236E+24;7,62917041623168E+23;92,93851;13,94178;14;337,4158;False
3;2,5116360390215E+24;4,25681164359047E+23;94,54211;23,56329;14;341,48;False
4;1,83804035291826E+24;2,97908337755932E+23;63,26587;11,00208;14;341,4506;False
5;2,21562286625294E+24;4,43654332654201E+23;73,06068;13,90796;14;339,694;False
6;2,12299354969313E+24;2,63640166675144E+23;64,76624;9,953247;13;338,8863;False
7;1,03841060258072E+24;9,15006169618564E+22;68,29349;14,7121;13;336,925;False
8;1,45383041442953E+24;2,35088842760613E+23;66,84174;12,44695;13;341,0862;False
9;2,49748796277772E+24;2,95992348314838E+23;63,70376;9,002441;13;338,0756;False
10;1,38822067802131E+24;1,85692668807162E+23;70,62779;15,7077;14;342,0893;False
11;9,14973710208336E+23;1,54267037443968E+23;57,84224;12,00864;14;343,4936;False
12;1,25819491130769E+24;9,06964708771789E+22;86,6406;21,24258;12;340,7464;False
13;9,80446032784732E+23;1,81568081970982E+23;64,20669;12,09076;12;340,5292;False
14;8,7325266590227E+24;6,07796721529972E+23;96,91299;12,64072;12;340,5067;False
15;2,67262970969443E+24;2,59323355318191E+23;79,46;15,70193;14;343,052;False
16;4,93750797669756E+24;3,3777921078776E+23;92,44959;14,21432;12;340,8967;False
17;8,19732882325397E+23;1,08557590923711E+23;66,33206;15,43442;13;341,4323;False
18;1,03185797320929E+24;1,99880886415602E+23;66,76904;12,92392;12;340,8702;False
19;2,6537275616264E+24;3,73106353973596E+23;77,47186;13,67126;13;343,6493;False
20;8,22529149319633E+23;1,00309608687806E+23;51,83863;8,929626;13;340,4937;False
21;5,452682808523E+22;8,04477360446435E+21;35,18827;10,30914;12;339,1234;False
22;8,37023548771881E+24;4,39749787641772E+23;94,63259;12,18713;12;339,9683;False
23;1,25243289785804E+24;1,47813213484903E+23;64,71922;12,34406;13;342,0196;False
24;1,64237775614106E+24;2,41727873989115E+23;81,07972;17,95825;13;338,2699;False
25;2,38205076038024E+23;2,51988208377629E+22;35,03759;6,328491;13;346,9988;False
26;1,71865144000614E+23;2,93360458596324E+22;43,11729;11,4101;13;345,9195;False
27;1,15172866319514E+24;1,19162264929179E+23;54,39569;8,873901;13;346,493;False
28;1,92035145435741E+24;1,45540624048378E+23;68,47526;11,95233;13;345,8306;False
29;2,6413526786567E+24;3,01785978412464E+23;85,55795;17,21521;13;346,9528;False
30;3,35175725729196E+24;5,67641260889825E+23;76,59592;12,24249;13;345,1783;False
31;1,18507487128023E+25;8,53118294759916E+23;96,53819;12,45087;13;345,8773;False
32;2,60306617310134E+24;2,29691019325704E+23;79,66566;14,75922;13;346,0112;False
33;1,38444947177974E+24;1,58109329399166E+23;65,00064;12,17603;13;346,8036;False
34;1,70685287367356E+24;2,4425480251435E+23;77,29481;16,18707;13;343,2246;False
35;2,19577993423715E+24;3,11830399035612E+23;62,29159;9,256836;13;346,087;False
36;6,57968036869561E+24;1,03584394821679E+24;111,8191;21,34766;13;344,3994;False
37;1,09627364322671E+24;2,20964517108522E+23;80,42361;21,63354;13;348,4146;False
38;4,26112402199302E+23;8,29099359321793E+22;49,71811;10,71533;13;344,0416;False
39;1,44808598303283E+24;1,52509079650212E+23;63,1143;10,25366;12;347,9309;False
40;8,61459993880881E+23;1,94611462763326E+23;63,339;12,62903;12;346,8405;False
41;1,90818683544711E+24;1,65661760836164E+23;81,64359;17,91211;13;350,4196;False
42;4,99482546929909E+24;4,69494503981665E+23;99,25697;18,76794;13;351,0845;False
43;1,24190110402864E+24;2,73558469990895E+23;65,95841;13,3623;13;351,9464;False
44;2,38297922247942E+24;4,39886997757119E+23;93,67284;22,10986;13;349,08;False
45;1,50757759736167E+24;2,6562277322771E+23;66,85043;12,62634;13;349,3406;False
46;5,5289768846872E+24;6,50149737446042E+23;95,26859;14,97461;12;350,1487;False
47;1,19040182980011E+24;1,19209160657287E+23;53,768;8,739258;13;353,2979;False
48;4,3298065103838E+24;3,19941319976509E+23;82,31854;12,08801;12;352,0964;False
49;1,84668164371048E+24;2,78251172967452E+23;79,70294;15,59668;12;349,8761;False
50;9,9824389822413E+23;1,80916109979468E+23;58,75952;10,13831;12;347,5981;False
51;2,69369214443171E+24;2,49507642447254E+23;93,06237;21,0271;13;353,2634;False
52;5,63062507383199E+23;7,01674482888995E+22;53,82188;10,56873;12;349,7387;False
53;8,41346053253915E+23;1,14922207586093E+23;78,15602;23,06873;13;352,9032;False
54;1,61792645275617E+24;1,18881711836068E+23;76,53725;15,0885;12;350,7994;False
55;1,41862105636997E+24;3,86788626031338E+23;82,27094;18,66223;12;350,716;False
56;1,5417238176788E+24;1,86520696916531E+23;82,48263;17,90723;12;346,9724;False
57;1,94997663710941E+24;2,45228724799855E+23;73,31484;12,85767;12;353,1249;False
58;7,15376552623879E+23;8,80089600157571E+22;48,03254;8,294312;13;351,5041;False
59;2,37641852265745E+24;1,87833878602986E+23;92,29675;21,54309;13;350,7717;False
60;1,84697232404482E+24;2,03264821044505E+23;82,21782;18,70605;13;354,5946;False
61;9,78375313704864E+23;1,27498912665575E+23;55,67062;10,1554;13;352,694;False
62;2,54292719334766E+24;2,9331896551664E+23;82,03751;16,21802;13;352,0701;False
63;2,73030489619276E+24;4,30001116375783E+23;65,48351;9,707764;13;353,2753;False
