Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;10362821804032;1704102572498,83;907,4975;38,01184;11;327,2107;False
2;6770655756288;1755363704169,96;920,8511;45,00735;11;303,4861;False
3;12886326902784;3027884307131,84;932,4861;37,34525;12;348,7766;False
4;10435146285056;1999917076335,65;1083,99;53,76636;11;267,7881;False
5;13200804282368;4233686287222,32;921,88;36,09229;11;268,3195;False
6;11254695460864;4246334189421,3;915,4498;37,55579;11;284,1595;False
7;13793708998656;5011630349035,22;1313,231;71,71716;12;295,1326;False
8;18938637320192;4283916550046,42;1351,999;68,55518;13;335,8156;False
9;13959771979776;4375085481458,4;1189,752;58,72778;12;270,0385;False
10;11294426005504;3824513654272,9;918,0519;37,69397;11;266,4257;False
11;15591774617600;4870538725392,55;912,0294;33,43152;11;269,7852;False
12;10364131475456;4802689398094,15;921,3981;39,07886;12;274,4785;False
13;16241558290432;5482300119896,53;913,9099;33,14111;12;289,036;False
14;17656214192128;4843554404563;1205,772;55,81128;12;269,4892;False
15;13716284243968;5405460764785,45;938,9243;36,94897;12;263,8873;False
16;41315219800064;7738062826655,6;1750;88,9939;12;265,0642;True
17;39920173318144;7485575095187,75;1750;90,02002;11;265,1785;True
18;13995409932288;3790684794233,65;935,3341;36,4292;11;266,8608;False
19;12305216569344;5301875025856,37;931,3223;37,69336;11;265,2511;False
20;13350201196544;4317267125160,94;935,139;36,99878;12;273,1044;False
21;15194776403968;5193097392278,65;925,583;34,7146;11;264,4919;False
22;39362381217792;6891712279347,15;1750;90,42993;11;260,0301;True
23;12965261606912;5039280765567,32;1621,436;110,585;12;272,2258;False
24;13572703780864;4818127909932,04;1067,863;47,86304;11;269,1234;False
25;11237164318720;5551079346299,49;914,5914;37,48071;11;269,3578;False
26;22492718563328;3224729925447,97;1459,75;75,2063;11;271,3978;False
27;12913741922304;3688788819902,3;911,4397;35,54736;11;270,5119;False
28;13606853804032;4149361195769,27;1076,413;48,58203;11;267,9036;False
29;18337683734528;3692246096892,66;1073,494;43,7749;11;264,8015;False
30;11789392674816;3836349332963,01;907,9742;36,35205;11;263,6185;False
