Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;9519838003200;2012119625643,6;927,9749;40,73009;12;255,9619;False
2;11150022410240;2147998198891,89;1039,908;48,4861;11;280,3934;False
3;10188014747648;4170547603507,28;928,0037;39,8718;11;279,8909;False
4;16033210433536;3941445258169,51;1057,798;44,44598;12;263,8784;False
5;13556581924864;5753407699756,03;928,3093;36,24506;11;250,5811;False
6;14974876385280;6451741960645,38;1067,732;46,2439;12;227,5427;False
7;51074463432704;8146723443670,5;1750;82,86133;12;241,8426;True
8;12619172806656;6425962158590,11;915,9858;36,11377;12;230,0646;False
9;43376598581248;9672257217992,2;1750;87,52405;11;250,7766;True
10;41042292244480;11787594942054,4;1750;89,15674;12;251,8521;True
11;45185547370496;13681599090986,9;1750;86,28003;12;226,3605;True
12;55735937400832;11454712344346,4;1750;80,51416;12;257,2847;True
13;49520180199424;16033758968217,6;1750;83,76855;14;263,1016;True
14;41741319143424;16841659910041,6;1750;88,72241;12;277,8293;True
15;40152525176832;18645798682624;1750;89,80591;12;249,9519;True
16;41420362612736;16815550369749,1;1750;88,94775;12;276,45;True
17;43489404387328;23733881484083,2;1750;87,45508;12;253,5194;True
18;41214598447104;17206572613632;1750;89,07666;12;269,064;True
19;42807230201856;17054893502639,5;1750;87,92651;13;257,0781;True
20;40599700897792;17315240919039,9;1750;89,47803;13;251,191;True
21;41386355195904;20202510630529,4;1750;88,91284;12;253,4119;True
22;44715546247168;19872072847241,6;1750;86,67529;13;264,8435;True
23;44458036953088;20706935622860,8;1750;86,83765;12;262,8596;True
24;49574299303936;24763705579929,6;1750;83,74438;13;265,8906;True
25;43884277137408;24229012255539,2;1750;87,2168;12;263,637;True
26;41436460351488;24523468596838,4;1750;88,87061;12;250,9352;True
27;40453193859072;25510904542003,1;1750;89,58252;12;249,868;True
28;40965330960384;21081538894233,6;1750;89,2959;12;283,998;True
29;38939951890432;22913790633574,4;1750;90,78369;13;270,3608;True
30;43189335490560;17061215724529,3;1750;87,69092;12;266,9541;True
