Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;10534608961536;2411895303743,75;1341,462;81,64714;12;290,6542;False
2;9207581507584;1696065175145,95;927,9132;41,25917;13;298,1969;False
3;7522089959424;2134035832490,25;803,8376;33,22849;11;314,8649;False
4;7869780459520;1254539102631,24;916,6893;42,41403;14;291,6674;False
5;11257326338048;2841516852331,81;930,1605;38,85754;14;341,2671;False
6;13367360094208;2470732661416,02;1075,551;48,85956;14;301,8528;False
7;13971333578752;4851151806150,5;1062,726;47,01416;13;298,7762;False
8;15063062675456;7462642864892,9;1082,38;47,55444;14;299,506;False
9;13310884839424;4910488638776,8;907,4448;34,94751;14;312,3895;False
10;16178587107328;4988290209676,75;1070,561;45,46252;13;310,3381;False
11;18982440534016;8299239327899,55;1340,473;67,27722;13;304,765;False
12;28827577221120;8544146391785,3;1462,543;69,63928;13;295,4664;False
13;23955685507072;7324756104612,9;1480,88;75,8772;13;305,5669;False
14;20896750239744;8583969022654,2;1471,752;78,39868;13;308,2441;False
15;18339495673856;8716355020390,4;1342,9;68,28577;14;304,2617;False
16;40265888825344;7556431162905,3;1750;89,87061;14;306,7875;True
17;20295373029376;7186464797112,3;1346,164;66,37622;14;308,728;False
18;24816574791680;9421188138861,9;1331,47;60,77881;14;305,1105;False
19;23490704965632;7525509875117,7;1606,233;89,62573;14;302,4357;False
20;44731161640960;11034330215940,1;1750;86,73218;13;292,2277;True
21;37603264954368;10297976442490,9;1732,59;89,25073;14;315,5007;False
22;34336703250432;10491464077883,8;1750;94,74536;12;294,4329;True
23;23381982314496;7581719946476,9;1334,984;62,32275;14;311,8254;False
24;17161217114112;5410713163559,2;1354,261;70,94604;14;298,6249;False
25;15943592837120;7661594757014;920,196;33,81738;14;299,6481;False
26;15143082655744;7829809111030,7;1336,341;71,99731;14;297,4824;False
27;46194784993280;9194690763448,05;1750;85,8042;12;292,1031;True
28;19681851211776;8524378057220,4;1589,076;92,92773;12;291,7119;False
29;14012210216960;6250749803013,7;919,0118;35,19507;13;288,2149;False
30;14696569634816;6593472617133,85;933,2458;35,72314;13;293,8178;False
