Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;10905291063296;1645854164791,53;1075,856;52,2328;13;278,1857;False
2;12113477107712;5108527521304,45;930,4189;37,83856;13;278,1857;False
3;12348127444992;4268556467743;929,6505;37,52338;12;269,8796;False
4;12676640014336;6648979802475,4;1076,886;49,79468;13;277,4319;False
5;13405510434816;4665856204265,85;915,7413;35,4859;12;302,346;False
6;10433892188160;4703296960305,8;1058,021;51,29333;12;285,3584;False
7;12395775787008;5205400993109,7;912,2481;36,13904;13;297,322;False
8;13877083373568;6577779906041,85;1060,349;47,04187;12;366,0769;False
9;19549426548736;6743905591844,3;1626,49;97,5094;13;296,921;False
10;14694557417472;8288489764603;1192,047;58,02795;13;296,921;False
11;17337883295744;8951351857943,9;1613,955;99,87842;13;302,2202;False
12;16840292040704;8877982298521,5;1465,616;83,42529;13;302,2202;False
13;35553709916160;12750664235417,6;1750;93,65564;13;296,364;True
14;36363156062208;10639624655896,8;1750;93,05542;13;332,2836;True
15;24655287025664;8339530989623,9;1474,956;74,54785;13;296,364;False
16;27396946264064;10586297251171,3;1627,136;87,36035;13;277,7725;False
17;29188939579392;10548741545209,7;1607,126;83,53662;12;289,617;False
18;17189024301056;11915138773811,2;1335,098;68,92676;12;292,8216;False
19;21317891915776;10691327883040,4;1351,564;65,80225;13;296,9305;False
20;25170284642304;13118126843494,4;1750;105,0457;13;282,2636;True
21;31078129598464;11902504336838,7;1750;97,92944;13;287,3484;True
22;35902055251968;15334239921477;1750;93,33765;13;291,5583;True
23;33441550696448;12895552798719,9;1750;95,56567;13;288,1055;True
24;35420259745792;11534884804061,3;1750;93,74341;13;285,909;True
25;33743819505664;13847017350758,4;1750;95,25562;13;280,1368;True
26;43242355687424;13735977310076;1750;87,68799;13;280,1368;True
27;33832644378624;11986888006041,6;1750;95,16455;13;277,5736;True
28;37091505340416;14629563688550,4;1736,654;89,96729;13;277,5736;False
29;30640762257408;14168047170355,2;1750;98,41553;13;294,3073;True
30;21780269891584;10932777543142,2;1476,005;77,69922;13;277,5165;False
