Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;7440008478720;2074565298344,37;921,8284;43,68537;11;289,4418;False
2;8723629080576;1785237510689,19;1190,318;68,71617;11;311,3236;False
3;10590744477696;1894592292081,35;1077,952;53,0477;13;322,2971;False
4;9088769458176;2957475925111,8;908,0526;39,74692;13;323,4934;False
5;10890508238848;3429267392396,8;937,5272;39,85266;13;310,8559;False
6;15413487337472;7089958627147,6;908,6833;33,40216;14;334,5742;False
7;11811341467648;6582750286311,5;914,2369;36,86792;13;288,1063;False
8;12874459119616;6168630674200,7;915,4703;35,99567;13;335,4236;False
9;15438600732672;7574282259588,4;919,3062;34,16528;13;335,6821;False
10;12498838224896;5729974962630,2;930,8333;37,53101;13;309,6198;False
11;14739950272512;8652867544473,6;930,9884;35,53833;13;308,5989;False
12;12477229170688;7380794556068;1065,428;49,08105;13;312,4429;False
13;12831933071360;6103047787260,95;930,1976;37,15173;13;308,2348;False
14;50019331735552;8869833350061,35;1750;83,6073;12;315,3416;True
15;18331318878208;7490561084714,2;1319,982;65,96423;13;284,4729;False
16;22255184642048;10558087915110,4;1610,246;91,59497;13;279,0514;False
17;22642140643328;8692978673330,6;1623,553;92,57886;14;282,0851;False
18;34519388258304;14167654609715,2;1750;94,54736;13;284,0081;True
19;40990198988800;13630687805440;1750;89,27783;13;284,0081;True
20;45860725456896;13612377007718,4;1750;85,9917;13;283,4796;True
21;37446205046784;10627341982105,6;1750;92,01221;13;283,4064;True
22;36046901346304;11499218390089,9;1750;93,1875;13;282,7885;True
23;15756545753088;9783196797965,2;949,2549;36,08862;13;282,7346;False
24;23675952693248;11976743075823,3;1602,02;88,875;13;282,6653;False
25;38168816517120;13039149609355,3;1750;91,42505;13;282,6624;True
26;37807720497152;12822042456883,2;1750;91,71289;13;281,6815;True
27;38383686516736;16317046744678,4;1750;91,25757;13;284,0193;True
28;33504343621632;15446460150579,2;1750;95,49048;13;282,9146;True
29;31755551637504;12027475072756,3;1750;97,2124;12;282,4683;True
30;41745723162624;13992796042035,2;1750;88,74072;13;286,1978;True
