Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,42522580139629E+22;1,51509681120506E+21;21,08143;5,665863;13;312,3212;False
2;6,02503519710235E+23;3,90429846006133E+22;67,86774;15,44077;12;320,345;False
3;1,61531566200898E+24;1,73655564989765E+23;83,48337;16,37376;12;320,0642;False
4;4,94789738472113E+23;7,34480150951652E+22;54,58046;10,32151;12;320,0642;False
5;4,98275056209337E+23;4,56499140341542E+22;54,90617;10,42779;12;320,0642;False
6;2,3954098780269E+24;3,25042487292255E+23;79,61564;12,66208;12;320,2716;False
7;7,69411965932168E+23;1,37663530343973E+23;56,69669;9,391663;12;318,9785;False
8;6,99795467007463E+23;1,64491742901006E+23;63,60436;12,64919;12;321,5793;False
9;1,09039482441713E+24;1,35440449131835E+23;51,34451;8,237778;14;329,9377;False
10;4,59287574379176E+23;6,08205271748071E+22;48,72325;10,33707;14;329,9377;False
11;7,49356896359532E+23;1,44781474385626E+23;54,55822;10,82535;14;328,1313;False
12;1,86667171733329E+24;3,42510152977919E+23;63,5889;10,61432;14;329,7229;False
13;2,577735622954E+24;3,7363940297658E+23;78,32676;14,72275;14;329,7229;False
14;1,68878183789516E+24;3,10904360557677E+23;83,08413;20,07495;14;332,0412;False
15;2,6441107551261E+24;4,30208883120848E+23;79,40575;15,01822;14;329,7229;False
16;2,49431339341478E+24;2,79682351571133E+23;91,02128;21,00595;14;332,5814;False
17;2,07901247659614E+24;3,98905830825327E+23;80,81218;14,23575;12;328,5204;False
18;8,97184203449846E+23;1,43375857344896E+23;67,65681;13,44739;12;328,2662;False
19;1,28595769348418E+24;2,11607956308857E+23;77,27799;15,60052;12;328,2662;False
20;5,62200698558506E+23;1,15827072573537E+23;52,90124;10,45648;13;330,0952;False
21;1,35848668830231E+24;2,39848065501711E+23;76,95716;15,36841;12;332,7048;False
22;2,20060779303769E+24;2,51831199816521E+23;79,27778;14,68262;13;328,6824;False
23;1,572729191587E+24;3,25471373286691E+23;76,16385;15,47748;13;330,5977;False
24;1,06287711011795E+24;1,85098055427628E+23;79,74038;22,03058;14;329,8044;False
25;2,50983690501356E+24;3,10571305361295E+23;68,58273;11,41406;14;336,5685;False
26;1,25409555478287E+24;2,46707136198023E+23;78,12088;19,61542;14;329,8044;False
27;6,18278440254612E+23;1,18405708038935E+23;65,75212;18,08405;14;332,7011;False
28;1,90751612336181E+24;2,05793139126414E+23;83,71219;19,6889;14;335,8168;False
29;1,36480887748801E+24;2,97447846941655E+23;61,31838;11,28326;14;334,6777;False
30;8,5361581860543E+24;6,96496198792857E+23;95,94367;14,42987;14;331,5179;False
31;1,73676291450631E+25;1,50214169371809E+24;93,02861;10,45068;14;334,6777;False
32;2,69891920230322E+24;5,9668409295956E+23;65,48985;9,980225;14;334,6777;False
33;3,84442540402282E+24;5,85635046553538E+23;79,4897;13,08105;14;331,5179;False
34;3,21419959850393E+24;6,95987297521694E+23;62,31059;8,322876;14;332,2236;False
35;3,5400385623663E+24;5,17601859443853E+23;96,35152;20,65002;14;332,3367;False
36;2,66232835605076E+24;3,937450676323E+23;65,87914;10,05103;14;331,5179;False
37;6,449579517969E+24;7,48355510194858E+23;99,60361;17,39307;14;330,7322;False
38;3,86571813483065E+24;4,51083182454017E+23;78,50019;11,59485;13;329,8568;False
39;2,8750112447701E+24;5,57255881511272E+23;78,66649;14,28723;14;330,7322;False
40;4,36405404367815E+24;3,27188143641542E+23;92,26591;17,31006;14;333,0764;False
41;8,88760382476436E+23;1,94018928220657E+23;52,69281;9,55957;14;333,5527;False
42;3,53323142557272E+24;3,04688542385786E+23;75,72208;12,22607;14;332,8641;False
43;4,75020175498574E+24;3,81927163617867E+23;83,76848;13,77234;14;337,3003;False
44;8,37193085879133E+23;1,27904497010073E+23;76,23592;22,73425;14;338,0627;False
45;3,48429941930457E+24;4,14583907240652E+23;96,62119;20,97839;14;333,1995;False
46;8,12500850722818E+24;9,06639618290126E+23;107,2772;18,83618;14;333,1995;False
47;1,59088294948335E+24;1,89260862379126E+23;56,02008;8,657471;14;332,0562;False
48;1,77345008735048E+24;2,85108255351376E+23;64,74227;11,43701;14;334,1432;False
49;1,80223378151931E+24;3,21721566472579E+23;69,18295;13,26099;14;336,8168;False
50;7,55504489994878E+23;1,89577415662872E+23;61,22285;13,03503;13;334,7782;False
51;8,30884659693895E+23;2,16464315112853E+23;76,28545;22,6355;14;335,6956;False
52;2,72951918018737E+24;3,93211952109212E+23;79,58307;13,94446;13;335,6544;False
53;1,39416571775981E+24;2,74241183807217E+23;70,78564;15,5282;14;337,9914;False
54;2,16270693972563E+24;3,98918209055995E+23;80,79952;15,77087;13;335,087;False
55;2,06224352154201E+24;3,14467151429109E+23;85,65729;18,28247;13;335,087;False
56;1,59514861493521E+24;2,49230202274091E+23;76,35778;15,64526;13;333,5927;False
57;7,50434186213437E+24;5,38867549692347E+23;93,53358;13,30591;13;334,1987;False
58;2,21961312758039E+24;4,14877987106743E+23;76,1015;13,67053;13;334,6306;False
