Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;7,26661205291748;0,646660642607356;1064,986;47,86762;13;255,5395;False
2;23,0263023376465;5,32520044408865;912,2554;33,83179;13;255,5395;False
3;47841712;4543153,17283666;1750;95,37222;13;269,0545;True
4;12,437201499939;5,387585490942;936,7369;38,53558;13;255,0114;False
5;47577704;4270818,21733175;1750;95,17542;14;261,9893;True
6;44455188;3876018,65747373;1750;92,90698;14;261,809;True
7;50827420;11969847,2037623;1750;97,43762;14;262,2495;True
8;53290176;11338079,5349344;1750;99,08813;13;259,9423;True
9;52958288;5072408,94154845;1750;98,86816;13;259,9423;True
10;65939592;23809420,8632979;1750;106,8961;13;259,9423;True
11;61591996;15218940,6146714;1750;104,3278;13;258,9161;True
12;60732400;13436314,1150604;1750;103,8098;13;261,5237;True
13;55319764;14074882,066286;1750;100,4099;12;256,1962;True
14;60054164;19382545,234222;1750;103,3911;13;257,9253;True
15;65596048;7928803,91837518;1750;106,6919;12;255,2978;True
16;59413724;8337541,26819852;1750;102,9945;12;255,8565;True
17;64729644;3236487,67188428;1750;106,1869;12;254,9388;True
18;61690952;14626558,6023138;1750;104,3831;12;255,2628;True
19;72313064;15240416,0255292;1750;110,4705;13;257,3882;True
20;69483808;13982353,222614;1750;108,906;12;255,5209;True
21;65209020;14052709,2470721;1750;106,4678;12;255,9382;True
22;63192024;10774161,9525391;1750;105,282;12;255,9382;True
23;72795128;16179318,2403184;1750;110,7283;12;253,2221;True
24;63938136;11574755,9435467;1750;105,7239;12;256,366;True
25;75556504;8879310,0309998;1750;112,2122;12;254,7625;True
26;62737008;13466583,2192438;1750;105,0098;12;254,7625;True
27;65066252;31405287,1592345;1750;106,3848;13;256,0745;True
28;54779884;10519800,1501014;1750;100,0586;12;255,0822;True
29;65392340;29060019,0390949;1750;106,574;12;255,5859;True
30;65055612;18399489,2187812;1750;106,377;12;254,7054;True
