Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;6081631223808;649708831163,734;808,2518;36,1349;12;356,2453;False
2;9952478363648;2276799353080,85;922,4344;39,84763;13;356,9308;False
3;11298808004608;3079579925577,75;1060,164;50,31699;12;354,6211;False
4;8853075787776;2649972505417,67;929,9125;42,0954;11;356,1783;False
5;8207421931520;2485340491156,39;940,1426;44,11121;11;355,6674;False
6;7566936506368;3650216064472,2;930,2525;44,38678;12;359,2195;False
7;12090090717184;5144356548942,4;1068,821;50,01666;13;362,5464;False
8;11709208068096;5332017072888,95;924,9788;37,96387;13;361,814;False
9;11312842145792;3168855217814,2;917,5193;37,78052;12;356,1406;False
10;13812389380096;5021234248345,7;1351,914;76,09656;12;356,9745;False
11;9320141946880;4041834462622,15;950,8317;43,25647;12;361,4108;False
12;13891673260032;4313296446967,03;934,2357;36,5752;12;359,91;False
13;12121971621888;4159159067695,8;926,6185;37,66919;13;367,1955;False
14;10605203292160;4265126578570,25;917,7821;38,63074;13;360,1379;False
15;15003665039360;5197588730700,7;1331,127;71,84119;13;360,2056;False
16;12468333051904;3525002979467,95;913,1064;36,24023;12;363,9675;False
17;12529537384448;5331467868347,1;907,7246;35,74805;12;356,747;False
18;14473385476096;5064334132993,35;1082,494;48,34595;13;375,1171;False
19;12741052989440;4703944760158,8;1213,919;63,2334;11;369,2305;False
20;16693682241536;7893759187987,6;1464,345;83,74756;12;372,7602;False
21;11898205503488;6159303878246,4;916,3608;37,05981;11;357,2345;False
22;13074910150656;6212375415179,75;1075,188;49,30347;11;358,7118;False
23;13228241321984;4804105244140;914,8539;35,65552;11;355,9963;False
24;13503039537152;5237509573454,2;1072,834;48,56909;12;359,0148;False
25;13191910260736;4978522504843,3;919,4369;36,04858;11;359,038;False
26;13770584752128;3540062077045,95;1208,176;61,02588;11;355,9872;False
27;12138813849600;3969580778699;928,8362;37,82178;12;361,755;False
28;10473232662528;4612546253264,25;922,6887;39,21484;12;366,0441;False
29;26701113327616;5137758903426,02;1606,909;86,17041;11;355,056;False
30;11623140950016;4491739753696,3;931,7771;38,59424;11;350,2307;False
