Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1,46460653754591E+23;8,10776063487563E+21;53,42507;14,31367;12;289,5493;False
2;5,83816895905973E+23;1,06439494188981E+23;66,19561;13,06412;12;289,0262;False
3;9,10860230395087E+23;7,04117730318439E+22;67,66807;12,43926;13;285,1729;False
4;1,4743950753072E+24;1,80576798271491E+23;99,27878;21,41602;12;282,5169;False
5;6,68828211566506E+23;8,50682687036189E+22;66,9586;12,72801;12;289,7258;False
6;5,94680767157493E+23;6,24688132258059E+22;72,10313;15,09442;12;280,3918;False
7;8,82526463843433E+23;1,88446951261945E+23;82,23957;17,82707;12;288,5797;False
8;1,77565951729887E+24;3,26303832225176E+23;85,80798;14,83955;12;288,9725;False
9;2,75369500739025E+23;5,06950368617228E+22;55,35471;11,8266;12;287,3483;False
10;8,28465614204448E+23;8,15034251169911E+22;62,96326;11,2988;13;290,9528;False
11;1,39512019265044E+24;1,21681822171788E+23;64,39779;10,61188;14;292,2207;False
12;4,48123222960518E+23;7,38490046067501E+22;52,77475;10,76248;14;292,3884;False
13;1,45593665790326E+24;1,67111148347722E+23;62,06411;9,836945;14;297,4189;False
14;1,45824178033653E+24;3,11712920865268E+23;67,9036;11,89798;14;296,4026;False
15;4,09144114222784E+24;5,91297185237993E+23;83,12718;12,25662;14;294,3168;False
16;3,3565271817869E+24;3,87774595223964E+23;97,86318;17,33237;13;295,1115;False
17;3,1500862100935E+24;5,47815712228875E+23;82,918;12,29129;13;292,5925;False
18;1,18197325302549E+24;2,12109983265866E+23;65,45368;10,88171;13;295,2068;False
19;2,0051227461722E+24;3,61225436417027E+23;84,71216;14,20435;12;296,8708;False
20;1,82302124447775E+24;2,5480656514918E+23;99,88881;20,54547;12;289,752;False
21;2,255319827154E+24;3,00582930054835E+23;96,77944;17,79816;12;292,3312;False
22;1,57970061969498E+24;2,67191935404768E+23;67,38121;10,20251;13;291,3907;False
23;1,67409664434542E+24;3,65448328834749E+23;83,14564;15,65668;13;290,1167;False
24;6,72131547849986E+23;1,05280552381888E+23;65,98714;13,40918;13;287,4175;False
25;9,28808768263618E+23;2,02001221175283E+23;65,50086;10,40234;12;283,517;False
26;8,07990232685788E+23;2,27349226048267E+23;68,9316;13,76849;13;288,3922;False
27;4,72770479766635E+24;3,641807684542E+23;110,7871;19,52167;13;290,9537;False
28;1,43957929582628E+24;1,8603392801786E+23;65,09604;9,904968;13;293,6724;False
29;4,17948276794805E+23;6,34513344286727E+22;55,11605;11,15826;13;292,7974;False
30;4,81709375627988E+23;9,3319713720268E+22;55,43438;9,591492;12;289,6871;False
31;7,47738771027817E+23;8,13381521054253E+22;65,1292;11,3219;12;286,6308;False
32;2,9293740877857E+24;3,96914571064597E+23;110,2034;20,84821;12;286,8594;False
