Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;5,56608486175537;0,463260895365653;673,1743;29,56736;13;292,4577;False
2;6,12946367263794;1,60215419005342;930,9144;40,16567;13;293,4935;False
3;6,79487943649292;3,1923307808727;924,017;39,47995;13;289,1843;False
4;23,9101142883301;4,22082455009235;917,4943;34,16968;13;250,2344;False
5;22,2372169494629;7,31198133282791;920,5433;33,595;12;266,9709;False
6;18,8321285247803;6,73327445415157;660,1666;24,87323;12;264,7344;False
7;22,186803817749;10,9964121055789;919,4323;34,6297;13;250,8383;False
8;19,5930213928223;11,0311412334442;656,0123;25,01031;14;255,1627;False
9;18,0407733917236;10,5685856163502;922,058;35,9469;13;250,8383;False
10;19,2211666107178;11,2265838265419;928,0196;35,35834;13;257,1321;False
11;27,2275695800781;11,8507680240553;922,0729;33,73767;12;248,2631;False
12;25,375919342041;13,0798588332021;916,9253;33,82251;13;250,0716;False
13;20,6142883300781;10,8267861964181;933,3375;35,83691;13;247,3495;False
14;19,5582809448242;11,9690394997597;928,2626;35,95581;13;247,3495;False
15;23,5499992370605;11,5358325542292;945,1938;35,37012;12;249,1088;False
16;20,4509334564209;10,9737537208945;942,801;36,12012;12;249,1088;False
17;21,9932098388672;10,5234436184235;924,5255;34,96375;13;249,5299;False
18;22,8282775878906;10,2181263178587;935,3966;35,20435;12;248,8428;False
19;23,4744300842285;13,2677039027214;920,5118;34,49854;12;248,6233;False
20;25,714075088501;12,1537096738815;933,6863;34,58276;11;246,9305;False
21;24,2228755950928;13,2917313324846;932,7512;34,94678;11;246,1832;False
22;27,5747203826904;13,8946920394897;652,8683;23,93726;11;246,1832;False
23;19,5517044067383;11,6920049808241;792,1731;30,52197;13;250,0134;False
24;26,1560192108154;13,3723583675921;922,2838;34,31274;11;243,3561;False
25;21,51540184021;8,73237981496786;650,3015;24,88037;12;245,5811;False
26;24,0840892791748;9,81715957067208;649,5983;24,51172;11;243,1603;False
27;27,4640522003174;13,9057981967926;793,2391;29,35913;11;241,9204;False
28;24,1317901611328;15,1791655778885;643,3678;24,05176;13;247,5648;False
29;28,6148891448975;15,6992515325546;919,5137;33,64917;11;244,1092;False
30;70677760;3533902,26344459;1750;109,561;13;247,5575;True
